Lil Wayne,1
Ace Hood,3
Gunplay,7
Bizzy Bone,5
Redman,5
Nas,1
Lil Scrappy,7
Freddie Gibbs & Statik Selektah,2
JAY Z,1
ScHoolboy Q,6
Tity Boi,2
Big Boi,7
OJ Da Juiceman,6
Ol' Dirty Bastard,1
Clipse,1
Suga Free,4
Smoke Dza,7
Pusha T,1
Travis Porter,4
K CAMP,7
2Pac,1
Young Scooter,5
Don Trip,1
DJ Khaled,11
Drake,8
Ski Beatz,2
Paul Wall,6
Kid Cudi,4
Pharrell Williams,1
Dre,3
Lupe Fiasco,8
Wale,7
Kanye West,1
Talib Kweli,1
Common & Friends,2
A$AP Rocky,10
Asher Roth,2
Twista,14
Kokane,2
Common,9
